customer_id, district_id, product_id, unit_cost, units_sold, total_cost
592,CA,X14RF,121.00,7,847.00
740,NY,FG152,57.00,10,570.00
387,WA,ZX146,214.00,3,642.00
592,CA,JG768,327.00,1,327.00
592,CA,BG46S,75.00,8,600.00
740,NY,X14RF,121.00,4,484.00
109,AZ,BG46S,75.00,4,300.00
548,NV,FG152,57.00,2,114.00
109,AZ,JG768,327.00,1,327.00
387,WA,SF73A,88.00,5,440.00
995,TX,X14RF,121.00,3,363.00
109,AZ,AE32N,520.00,1,520.00
984,IL,SF73A,88.00,6,528.00
387,WA,FG152,57.00,7,399.00
109,AZ,ZX146,214.00,2,428.00
